,Member_number,Date,itemDescription,quantidade,price
9117,3195,30-01-2015,iogurte,4,117.03
9118,2008,21-10-2015,refrigerante,5,215.35
9119,4667,23-02-2015,pãezinhos / pãezinhos,6,87.58
9120,4068,10-01-2015,iogurte,5,71.23
9121,3454,17-12-2015,outros vegetais,1,237.69
9122,1118,27-07-2015,iogurte,0,83.55
9123,3251,26-12-2015,pãezinhos / pãezinhos,9,68.63
9124,3694,17-12-2015,pãezinhos / pãezinhos,4,117.42
9125,3345,30-09-2015,leite inteiro,0,25.30
9126,4657,14-01-2015,iogurte,1,33.99
9127,3683,05-12-2015,outros vegetais,4,0.52
9128,4685,04-11-2015,vegetais de raiz,6,11.94
9129,3552,02-09-2015,outros vegetais,1,239.89
9130,3134,07-06-2015,outros vegetais,1,162.44
9131,4797,04-07-2015,vegetais de raiz,5,55.66
9132,1443,04-03-2015,vegetais de raiz,7,250.66
9133,2171,31-03-2015,pãezinhos / pãezinhos,2,21.41
9134,2476,05-05-2015,vegetais de raiz,7,72.91
9135,2592,01-10-2015,refrigerante,7,119.88
9136,4607,17-11-2015,refrigerante,4,120.01
9137,3600,26-11-2015,leite inteiro,8,64.85
9138,4160,19-04-2015,vegetais de raiz,0,253.26
9139,2800,02-02-2015,outros vegetais,8,63.83
9140,4680,22-08-2015,iogurte,3,15.54
9141,4780,05-04-2015,outros vegetais,4,228.86
9142,3329,21-02-2015,pãezinhos / pãezinhos,9,183.20
9143,4122,24-04-2015,pãezinhos / pãezinhos,4,191.99
9144,2186,14-02-2015,refrigerante,4,149.46
9145,1116,23-07-2015,água engarrafada,0,120.92
9146,3629,13-04-2015,fruta tropical,9,140.64
9147,1880,15-09-2015,refrigerante,8,211.35
9148,2476,04-12-2015,leite inteiro,2,152.06
9149,3284,28-01-2015,pãezinhos / pãezinhos,4,55.14
9150,1866,15-02-2015,água engarrafada,3,83.29
9151,1678,23-08-2015,leite inteiro,9,65.13
9152,2327,04-08-2015,água engarrafada,0,254.27
9153,4710,09-05-2015,vegetais de raiz,5,181.61
9154,4563,27-06-2015,outros vegetais,9,207.56
9155,4160,12-06-2015,pãezinhos / pãezinhos,7,47.36
9156,3750,28-02-2015,iogurte,1,1.95
9157,2108,11-08-2015,iogurte,2,205.64
9158,2072,19-02-2015,vegetais de raiz,3,78.10
9159,2391,27-06-2015,iogurte,3,219.91
9160,1047,04-01-2015,refrigerante,2,176.71
9161,2464,19-07-2015,outros vegetais,6,49.82
9162,2029,08-07-2015,pãezinhos / pãezinhos,0,131.04
9163,1807,18-12-2015,outros vegetais,0,103.14
9164,4614,24-10-2015,leite inteiro,6,63.83
9165,4105,29-05-2015,vegetais de raiz,0,121.31
9166,4335,12-10-2015,água engarrafada,7,208.24
9167,4582,13-11-2015,outros vegetais,5,181.90
9168,4744,20-01-2015,refrigerante,3,147.88
9169,2273,27-11-2015,vegetais de raiz,1,184.49
9170,1173,22-10-2015,pãezinhos / pãezinhos,1,24.65
9171,3334,03-05-2015,leite inteiro,0,52.42
9172,2964,11-08-2015,fruta tropical,2,104.96
9173,2809,10-04-2015,outros vegetais,1,230.91
9174,4539,09-03-2015,água engarrafada,3,217.94
9175,2690,20-10-2015,refrigerante,9,159.45
9176,4305,23-06-2015,outros vegetais,3,123.90
9177,2633,14-02-2015,leite inteiro,7,214.07
9178,2870,25-02-2015,pastelaria,5,192.54
9179,2977,16-11-2015,pastelaria,9,193.57
9180,1023,28-06-2015,iogurte,4,249.62
9181,3251,09-11-2015,pãezinhos / pãezinhos,3,247.81
9182,4100,22-04-2015,pastelaria,3,11.94
9183,3287,02-02-2015,pãezinhos / pãezinhos,3,193.96
9184,3468,14-11-2015,fruta tropical,5,105.74
9185,3811,11-05-2015,iogurte,9,97.57
9186,2874,22-01-2015,água engarrafada,0,217.94
9187,4510,26-03-2015,pastelaria,5,39.44
9188,4741,25-02-2015,leite inteiro,5,207.85
9189,3557,24-05-2015,leite inteiro,0,157.64
9190,4328,21-07-2015,fruta tropical,3,256.24
9191,1052,06-07-2015,iogurte,8,251.67
9192,1719,17-09-2015,outros vegetais,5,81.61
9193,3835,06-01-2015,refrigerante,6,236.78
9194,1720,05-12-2015,leite inteiro,8,72.01
9195,4628,29-11-2015,iogurte,8,180.21
9196,4843,13-05-2015,leite inteiro,2,204.97
9197,4395,25-06-2015,leite inteiro,4,16.22
9198,1196,27-11-2015,pãezinhos / pãezinhos,5,159.58
9199,3519,28-01-2015,leite inteiro,0,186.80
9200,1335,18-10-2015,iogurte,2,14.92
9201,4988,29-10-2015,outros vegetais,8,9.08
9202,4437,20-10-2015,outros vegetais,4,188.13
9203,3101,17-12-2015,refrigerante,2,125.72
9204,2433,19-10-2015,vegetais de raiz,9,113.13
9205,2051,14-11-2015,leite inteiro,7,85.60
9206,2982,25-06-2015,iogurte,9,249.75
9207,1804,30-11-2015,leite inteiro,0,249.62
9208,2789,28-01-2015,outros vegetais,3,94.71
9209,2512,23-04-2015,água engarrafada,6,77.20
9210,2102,10-05-2015,outros vegetais,7,62.80
9211,2083,28-03-2015,leite inteiro,1,51.25
9212,1656,13-08-2015,leite inteiro,5,228.32
9213,3882,23-04-2015,outros vegetais,0,32.69
9214,4919,12-03-2015,vegetais de raiz,4,75.22
9215,4876,21-02-2015,refrigerante,4,107.56
9216,4606,13-03-2015,leite inteiro,8,117.94
9217,2777,24-05-2015,refrigerante,9,32.44
9218,1943,07-01-2015,outros vegetais,0,97.31
9219,1023,06-01-2015,pãezinhos / pãezinhos,0,197.18
9220,1395,26-06-2015,vegetais de raiz,8,7.76
9221,3260,08-07-2015,leite inteiro,0,86.15
9222,2985,05-01-2015,refrigerante,4,134.28
9223,1205,14-03-2015,iogurte,2,0.52
9224,1116,08-10-2015,pãezinhos / pãezinhos,6,240.02
9225,1633,09-08-2015,leite inteiro,5,27.51
9226,2677,23-12-2015,vegetais de raiz,9,91.08
9227,1994,05-10-2015,iogurte,9,123.25
9228,4298,25-07-2015,vegetais de raiz,6,185.53
9229,1097,01-11-2015,refrigerante,0,38.90
9230,3766,07-05-2015,fruta tropical,7,158.80
9231,2348,28-02-2015,vegetais de raiz,9,251.67
9232,4588,08-11-2015,pastelaria,1,236.65
9233,2787,05-03-2015,pãezinhos / pãezinhos,3,205.25
9234,2056,24-11-2015,pastelaria,6,206.94
9235,3986,25-07-2015,leite inteiro,0,32.69
9236,3861,07-07-2015,água engarrafada,3,95.98
9237,4914,14-03-2015,leite inteiro,2,105.09
9238,2004,21-08-2015,outros vegetais,2,198.76
9239,2521,03-03-2015,água engarrafada,3,81.74
9240,1422,28-02-2015,pãezinhos / pãezinhos,1,73.17
9241,3082,20-02-2015,fruta tropical,0,114.43
9242,4773,31-10-2015,iogurte,9,112.23
9243,2723,03-11-2015,iogurte,7,155.66
9244,1361,08-09-2015,pãezinhos / pãezinhos,3,200.06
9245,2294,10-05-2015,pãezinhos / pãezinhos,8,209.53
9246,2113,07-09-2015,leite inteiro,9,112.10
9247,2328,22-02-2015,outros vegetais,9,113.13
9248,3069,09-04-2015,fruta tropical,3,188.77
9249,1993,08-07-2015,vegetais de raiz,7,84.20
9250,4579,09-01-2015,leite inteiro,3,199.15
9251,4427,14-01-2015,vegetais de raiz,1,154.26
9252,2883,12-10-2015,água engarrafada,0,191.37
9253,2606,26-01-2015,pãezinhos / pãezinhos,1,40.87
9254,3354,14-01-2015,outros vegetais,1,146.61
9255,3656,11-03-2015,iogurte,3,93.39
9256,4417,18-05-2015,fruta tropical,7,18.14
9257,3872,03-11-2015,leite inteiro,4,84.33
9258,1218,29-12-2015,leite inteiro,5,75.22
9259,4550,02-03-2015,outros vegetais,7,150.47
9260,1377,06-02-2015,água engarrafada,8,247.03
9261,2348,01-11-2015,vegetais de raiz,8,162.83
9262,1627,11-02-2015,outros vegetais,5,182.81
9263,4266,17-06-2015,vegetais de raiz,3,95.98
9264,3117,30-09-2015,outros vegetais,8,42.04
9265,1154,17-05-2015,leite inteiro,2,39.44
9266,2188,28-07-2015,pãezinhos / pãezinhos,4,197.47
9267,4679,16-05-2015,outros vegetais,1,179.02
9268,2495,28-07-2015,refrigerante,8,26.21
9269,4117,10-12-2015,fruta tropical,9,179.30
9270,1500,06-01-2015,refrigerante,3,228.32
9271,4467,22-11-2015,leite inteiro,0,48.00
9272,4220,21-11-2015,leite inteiro,6,176.71
9273,3922,01-04-2015,pãezinhos / pãezinhos,6,180.21
9274,2139,16-04-2015,iogurte,8,131.04
9275,2475,10-11-2015,refrigerante,6,42.81
9276,2518,03-07-2015,pãezinhos / pãezinhos,2,107.04
9277,3460,14-02-2015,leite inteiro,9,211.74
9278,3224,19-01-2015,água engarrafada,0,161.40
9279,1540,26-11-2015,vegetais de raiz,5,105.35
9280,3942,04-04-2015,outros vegetais,7,217.32
9281,2939,03-08-2015,água engarrafada,1,57.35
9282,1785,07-06-2015,leite inteiro,9,134.91
9283,1828,24-03-2015,água engarrafada,5,18.81
9284,4225,08-05-2015,vegetais de raiz,5,60.98
9285,1892,24-04-2015,iogurte,0,47.87
9286,2535,10-11-2015,outros vegetais,8,135.58
9287,1452,29-03-2015,refrigerante,3,146.61
9288,2196,23-08-2015,outros vegetais,3,74.21
9289,1026,28-05-2015,vegetais de raiz,5,65.39
9290,4967,23-09-2015,outros vegetais,9,64.22
9291,3408,05-11-2015,pãezinhos / pãezinhos,0,117.42
9292,1137,26-09-2015,outros vegetais,7,13.23
9293,3832,17-07-2015,leite inteiro,5,20.73
9294,2179,16-04-2015,leite inteiro,8,195.13
9295,2604,12-02-2015,outros vegetais,4,192.67
9296,2238,20-03-2015,leite inteiro,8,200.97
9297,2589,12-02-2015,outros vegetais,4,90.17
9298,2402,06-09-2015,água engarrafada,9,92.12
9299,4130,06-11-2015,vegetais de raiz,1,16.22
9300,4841,17-12-2015,iogurte,8,51.87
9301,1021,22-10-2015,iogurte,1,19.72
9302,1104,04-01-2015,pãezinhos / pãezinhos,0,196.56
9303,2613,09-01-2015,refrigerante,5,171.23
9304,4204,16-10-2015,pãezinhos / pãezinhos,8,65.39
9305,1945,05-02-2015,fruta tropical,0,21.41
9306,1427,26-11-2015,outros vegetais,5,17.13
9307,3709,08-09-2015,pastelaria,9,86.15
9308,4691,08-01-2015,outros vegetais,7,83.55
9309,1465,26-06-2015,outros vegetais,1,94.71
9310,2867,16-07-2015,outros vegetais,5,46.06
9311,3252,22-08-2015,água engarrafada,1,242.62
9312,2359,21-04-2015,outros vegetais,7,127.41
9313,4430,02-12-2015,fruta tropical,9,184.88
9314,3456,10-09-2015,vegetais de raiz,2,180.99
9315,1389,18-02-2015,fruta tropical,6,79.79
9316,4800,24-12-2015,refrigerante,4,225.72
9317,1833,12-07-2015,leite inteiro,4,190.59
9318,4827,27-01-2015,água engarrafada,5,72.63
9319,1489,23-06-2015,refrigerante,2,24.91
9320,2429,29-06-2015,leite inteiro,1,70.71
9321,2721,10-08-2015,vegetais de raiz,0,165.42
9322,1214,10-01-2015,iogurte,2,54.47
9323,1608,10-11-2015,leite inteiro,5,145.96
9324,1911,02-06-2015,fruta tropical,8,144.01
9325,3881,02-04-2015,outros vegetais,3,3.11
9326,1780,27-08-2015,leite inteiro,8,28.80
9327,4675,14-09-2015,outros vegetais,1,159.58
9328,3497,24-09-2015,leite inteiro,0,39.44
9329,3472,28-02-2015,outros vegetais,3,219.52
9330,4217,05-02-2015,iogurte,4,9.34
9331,3778,01-10-2015,citrino,2,157.64
9332,4525,28-09-2015,citrino,1,203.95
9333,1339,28-11-2015,leite inteiro,6,49.28
9334,2001,28-01-2015,outros vegetais,2,189.94
9335,2091,19-10-2015,pastelaria,7,62.54
9336,2453,28-08-2015,leite inteiro,9,148.42
9337,4681,28-02-2015,refrigerante,8,15.54
9338,2618,14-09-2015,iogurte,5,112.10
9339,3389,26-01-2015,vegetais de raiz,0,223.42
9340,3044,29-09-2015,vegetais de raiz,0,109.50
9341,2683,11-08-2015,refrigerante,4,184.49
9342,4063,12-11-2015,pastelaria,0,208.11
9343,4356,01-12-2015,leite inteiro,5,129.09
9344,3613,05-06-2015,vegetais de raiz,4,73.30
9345,2001,03-03-2015,outros vegetais,5,68.11
9346,2070,24-03-2015,citrino,4,246.48
9347,2698,24-01-2015,iogurte,8,172.56
9348,2421,27-10-2015,outros vegetais,0,147.26
9349,2410,21-11-2015,outros vegetais,7,49.95
9350,2728,28-11-2015,leite inteiro,6,24.00
9351,4031,14-01-2015,outros vegetais,2,170.61
9352,3986,18-11-2015,citrino,1,83.01
9353,3312,29-07-2015,leite inteiro,2,262.05
9354,1756,03-03-2015,outros vegetais,8,26.21
9355,2875,01-11-2015,refrigerante,7,164.12
9356,3871,31-07-2015,fruta tropical,2,193.32
9357,3322,25-04-2015,citrino,4,146.87
9358,1386,31-07-2015,refrigerante,0,248.46
9359,4672,13-02-2015,outros vegetais,2,95.36
9360,1104,18-03-2015,iogurte,4,8.95
9361,3271,27-12-2015,iogurte,3,69.41
9362,4648,08-10-2015,iogurte,0,39.44
9363,4224,04-10-2015,pastelaria,6,96.27
9364,1697,23-02-2015,outros vegetais,4,43.07
9365,3884,07-04-2015,pãezinhos / pãezinhos,9,93.39
9366,4843,25-02-2015,iogurte,5,86.28
9367,1663,11-11-2015,fruta tropical,8,171.78
9368,2799,25-05-2015,iogurte,3,109.24
9369,4065,11-05-2015,outros vegetais,6,217.94
9370,1904,18-04-2015,iogurte,6,177.10
9371,2883,16-04-2015,iogurte,3,216.02
9372,2938,25-06-2015,fruta tropical,5,90.17
9373,3365,28-06-2015,outros vegetais,5,250.66
9374,2937,31-07-2015,outros vegetais,6,63.57
9375,3986,26-05-2015,citrino,0,109.50
9376,4234,02-08-2015,pãezinhos / pãezinhos,7,60.20
9377,3484,05-08-2015,pãezinhos / pãezinhos,9,238.98
9378,3337,10-01-2015,iogurte,4,229.51
9379,2260,27-06-2015,refrigerante,7,261.43
9380,4952,22-10-2015,refrigerante,2,251.05
9381,2433,31-07-2015,leite inteiro,8,17.52
9382,3938,31-07-2015,outros vegetais,2,216.93
9383,1939,02-07-2015,fruta tropical,7,218.62
9384,1636,04-05-2015,leite inteiro,4,61.24
9385,2443,12-01-2015,pastelaria,7,157.25
9386,4911,07-01-2015,pãezinhos / pãezinhos,4,87.19
9387,2363,22-05-2015,pastelaria,8,231.59
9388,2344,19-04-2015,outros vegetais,1,123.25
9389,3495,18-11-2015,leite inteiro,4,113.13
9390,1625,27-11-2015,vegetais de raiz,9,177.62
9391,2942,01-02-2015,leite inteiro,1,179.30
9392,2932,22-01-2015,leite inteiro,2,51.87
9393,4049,01-08-2015,citrino,6,21.28
9394,2930,23-03-2015,pastelaria,0,179.30
9395,4929,26-03-2015,água engarrafada,0,131.04
9396,3405,13-04-2015,leite inteiro,3,42.69
9397,1759,26-09-2015,leite inteiro,4,202.37
9398,3055,18-08-2015,refrigerante,2,5.16
9399,1733,18-03-2015,iogurte,4,148.55
9400,4812,27-05-2015,leite inteiro,5,150.47
9401,4069,03-05-2015,refrigerante,6,44.37
9402,4175,29-01-2015,outros vegetais,3,128.31
9403,3910,18-12-2015,pãezinhos / pãezinhos,0,29.19
9404,3358,21-02-2015,leite inteiro,4,112.10
9405,1943,14-01-2015,leite inteiro,5,234.05
9406,1995,12-06-2015,pãezinhos / pãezinhos,3,54.47
9407,1787,31-10-2015,leite inteiro,1,163.73
9408,2158,01-08-2015,leite inteiro,0,101.72
9409,3180,19-10-2015,fruta tropical,5,31.40
9410,1226,12-11-2015,refrigerante,7,209.53
9411,1509,04-11-2015,iogurte,3,130.39
9412,4679,10-11-2015,pastelaria,7,150.47
9413,4324,05-01-2015,leite inteiro,1,95.98
9414,3497,14-06-2015,iogurte,3,117.29
9415,1008,21-07-2015,iogurte,4,93.67
9416,3752,20-08-2015,refrigerante,4,221.73
9417,3262,08-12-2015,iogurte,3,185.79
9418,1090,31-08-2015,iogurte,0,216.02
9419,3862,18-11-2015,pãezinhos / pãezinhos,5,123.25
9420,2492,01-11-2015,outros vegetais,4,63.57
9421,3709,08-08-2015,iogurte,0,144.01
9422,3608,12-10-2015,outros vegetais,3,142.98
9423,3812,13-11-2015,leite inteiro,0,89.78
9424,4742,15-11-2015,fruta tropical,2,19.72
9425,1135,10-07-2015,refrigerante,7,92.77
9426,1353,21-01-2015,fruta tropical,3,58.25
9427,3095,13-10-2015,leite inteiro,5,42.17
9428,1298,23-06-2015,refrigerante,4,126.50
9429,3189,03-02-2015,vegetais de raiz,1,176.71
9430,4984,26-04-2015,iogurte,5,167.63
9431,4444,06-10-2015,vegetais de raiz,2,123.90
9432,4678,17-12-2015,leite inteiro,5,258.84
9433,4469,18-10-2015,vegetais de raiz,8,70.03
9434,1788,05-12-2015,citrino,4,1.95
9435,3768,01-08-2015,vegetais de raiz,7,108.33
9436,4661,01-03-2015,pãezinhos / pãezinhos,9,53.06
9437,3801,17-08-2015,fruta tropical,3,5.84
9438,2365,11-06-2015,iogurte,6,24.52
9439,2602,08-02-2015,fruta tropical,9,77.20
9440,2391,05-12-2015,outros vegetais,5,27.89
9441,2652,01-08-2015,pastelaria,3,193.57
9442,4322,14-11-2015,iogurte,3,46.97
9443,3254,19-10-2015,refrigerante,6,14.27
9444,1711,21-03-2015,citrino,3,109.50
9445,4891,06-10-2015,leite inteiro,0,203.69
9446,1622,12-02-2015,fruta tropical,1,214.07
9447,1037,16-12-2015,iogurte,0,198.51
9448,4293,23-04-2015,leite inteiro,8,199.15
9449,3054,09-04-2015,leite inteiro,8,127.12
9450,4811,02-11-2015,pãezinhos / pãezinhos,0,234.05
9451,4749,15-02-2015,vegetais de raiz,9,91.99
9452,4685,19-07-2015,leite inteiro,7,177.10
9453,3621,14-07-2015,água engarrafada,5,1.56
9454,3219,04-08-2015,outros vegetais,5,178.40
9455,1444,29-12-2015,outros vegetais,7,224.71
9456,1698,22-07-2015,iogurte,3,200.32
9457,4550,30-01-2015,outros vegetais,3,143.88
9458,3183,07-08-2015,pãezinhos / pãezinhos,3,111.84
9459,2227,20-06-2015,leite inteiro,9,102.50
9460,4806,27-10-2015,fruta tropical,6,197.86
9461,1164,30-03-2015,vegetais de raiz,0,35.68
9462,3096,23-06-2015,iogurte,5,110.93
9463,4515,10-05-2015,iogurte,0,164.64
9464,3079,10-03-2015,refrigerante,3,187.09
9465,1230,19-11-2015,pastelaria,8,223.42
9466,2578,25-01-2015,fruta tropical,0,167.24
9467,4611,27-08-2015,leite inteiro,6,182.81
9468,3575,24-01-2015,leite inteiro,3,248.46
9469,2560,19-06-2015,água engarrafada,9,227.70
9470,2950,10-10-2015,água engarrafada,6,157.25
9471,4337,26-10-2015,fruta tropical,2,144.01
9472,2924,19-11-2015,iogurte,4,240.67
9473,3734,05-09-2015,pãezinhos / pãezinhos,1,96.66
9474,1823,11-11-2015,pastelaria,6,169.18
9475,1722,27-08-2015,pastelaria,1,205.25
9476,4924,11-06-2015,outros vegetais,0,77.20
9477,2902,16-08-2015,leite inteiro,3,97.96
9478,2184,23-01-2015,pãezinhos / pãezinhos,9,214.07
9479,2057,13-11-2015,refrigerante,0,68.63
9480,4913,01-08-2015,outros vegetais,0,144.01
9481,2413,26-06-2015,pãezinhos / pãezinhos,1,177.62
9482,4819,20-09-2015,refrigerante,1,16.09
9483,3648,02-06-2015,refrigerante,8,151.80
9484,2305,28-09-2015,leite inteiro,7,193.32
9485,2005,20-04-2015,iogurte,7,200.45
9486,1703,15-02-2015,água engarrafada,5,93.67
9487,1133,26-02-2015,pãezinhos / pãezinhos,1,188.39
9488,4007,13-03-2015,água engarrafada,1,153.74
9489,2383,02-01-2015,iogurte,8,219.26
9490,3573,03-04-2015,vegetais de raiz,4,106.91
9491,3765,12-06-2015,refrigerante,1,110.15
9492,2875,12-03-2015,refrigerante,8,174.11
9493,3535,28-02-2015,pãezinhos / pãezinhos,4,63.57
9494,2046,28-02-2015,água engarrafada,4,219.26
9495,2108,01-10-2015,fruta tropical,3,145.83
9496,4008,19-05-2015,vegetais de raiz,6,24.52
9497,3027,14-09-2015,vegetais de raiz,0,249.08
9498,4952,26-08-2015,pastelaria,1,22.06
9499,1218,20-08-2015,pãezinhos / pãezinhos,5,171.78
9500,4804,19-11-2015,leite inteiro,1,247.68
9501,1123,31-01-2015,pãezinhos / pãezinhos,8,116.74
9502,1827,01-07-2015,refrigerante,1,131.69
9503,4051,28-01-2015,leite inteiro,8,154.26
9504,4960,19-08-2015,vegetais de raiz,1,65.39
9505,3549,12-02-2015,fruta tropical,2,162.44
9506,3196,04-11-2015,fruta tropical,5,221.08
9507,2583,15-02-2015,fruta tropical,6,238.98
9508,1362,06-10-2015,leite inteiro,1,138.69
9509,2462,08-01-2015,pastelaria,0,259.46
9510,3447,03-09-2015,leite inteiro,1,216.02
9511,2082,21-06-2015,pastelaria,5,115.34
9512,1679,08-12-2015,pãezinhos / pãezinhos,3,62.54
9513,3605,05-04-2015,pãezinhos / pãezinhos,5,88.48
9514,1617,30-03-2015,refrigerante,9,244.17
9515,3399,09-04-2015,outros vegetais,9,230.29
9516,1570,15-03-2015,iogurte,6,59.66
9517,3348,05-12-2015,leite inteiro,7,163.99
9518,1427,10-01-2015,refrigerante,9,81.09
9519,3593,10-09-2015,leite inteiro,0,110.93
9520,2115,18-11-2015,refrigerante,9,159.84
9521,2480,26-03-2015,iogurte,7,57.35
9522,1532,20-06-2015,citrino,2,206.29
9523,2530,13-06-2015,iogurte,8,206.94
9524,1803,12-05-2015,iogurte,9,140.10
9525,2604,20-09-2015,água engarrafada,6,174.11
9526,1515,09-11-2015,refrigerante,6,12.95
9527,1845,07-08-2015,vegetais de raiz,0,114.82
9528,4217,17-06-2015,refrigerante,1,67.44
9529,4281,14-09-2015,refrigerante,7,24.65
9530,2690,01-05-2015,outros vegetais,5,45.41
9531,2834,02-12-2015,iogurte,3,66.17
9532,3894,25-01-2015,vegetais de raiz,5,154.65
9533,1430,04-09-2015,iogurte,1,11.94
9534,2738,11-04-2015,leite inteiro,0,206.29
9535,4755,27-12-2015,pãezinhos / pãezinhos,7,112.23
9536,1410,08-11-2015,refrigerante,3,75.90
9537,2040,31-05-2015,fruta tropical,8,202.66
9538,2566,31-01-2015,pastelaria,9,32.44
9539,2655,05-01-2015,pastelaria,1,138.82
9540,3175,05-06-2015,outros vegetais,2,210.70
9541,3738,01-04-2015,iogurte,7,130.26
9542,1593,08-08-2015,pãezinhos / pãezinhos,9,26.47
9543,2105,21-01-2015,fruta tropical,5,183.58
9544,2056,03-07-2015,água engarrafada,6,10.35
9545,4524,26-12-2015,vegetais de raiz,5,39.57
9546,3705,07-09-2015,vegetais de raiz,1,237.69
9547,1634,28-05-2015,água engarrafada,9,36.30
9548,2030,04-09-2015,refrigerante,0,110.54
9549,1303,29-03-2015,leite inteiro,1,60.20
9550,4559,12-05-2015,iogurte,3,250.40
9551,3719,17-12-2015,outros vegetais,1,254.55
9552,4462,02-04-2015,pãezinhos / pãezinhos,9,218.49
9553,1611,26-02-2015,iogurte,9,143.36
9554,1225,26-02-2015,leite inteiro,1,120.92
9555,1554,21-05-2015,fruta tropical,4,60.33
9556,3337,10-06-2015,leite inteiro,8,104.96
9557,4999,24-01-2015,outros vegetais,9,182.81
9558,3853,04-07-2015,fruta tropical,2,205.64
9559,3980,16-09-2015,vegetais de raiz,8,130.00
9560,2164,24-11-2015,leite inteiro,6,236.39
9561,3950,12-05-2015,água engarrafada,0,155.04
9562,4041,07-09-2015,iogurte,7,47.23
9563,1894,04-08-2015,leite inteiro,2,235.09
9564,4662,27-06-2015,pãezinhos / pãezinhos,3,68.76
9565,2869,10-12-2015,vegetais de raiz,5,96.66
9566,4700,04-03-2015,leite inteiro,2,70.58
9567,2468,13-03-2015,pãezinhos / pãezinhos,6,26.21
9568,4039,27-12-2015,outros vegetais,5,70.32
9569,3519,13-12-2015,vegetais de raiz,7,219.26
9570,3558,19-09-2015,leite inteiro,6,171.23
9571,3036,13-07-2015,vegetais de raiz,6,145.83
9572,4589,08-10-2015,leite inteiro,2,78.49
9573,1132,19-02-2015,outros vegetais,0,77.20
9574,4195,01-10-2015,vegetais de raiz,8,122.61
9575,2430,20-01-2015,vegetais de raiz,0,37.63
9576,4025,04-11-2015,citrino,6,146.48
9577,3399,19-07-2015,iogurte,9,212.13
9578,3562,13-08-2015,leite inteiro,5,213.04
9579,4633,26-04-2015,água engarrafada,5,166.04
9580,4695,05-01-2015,refrigerante,8,238.70
9581,1444,14-10-2015,vegetais de raiz,1,18.81
9582,4580,29-11-2015,leite inteiro,7,140.38
9583,2516,03-04-2015,leite inteiro,9,114.82
9584,3925,25-03-2015,vegetais de raiz,0,179.02
9585,4996,24-11-2015,água engarrafada,1,171.78
9586,3509,11-04-2015,fruta tropical,2,18.14
9587,1634,09-02-2015,iogurte,2,154.26
9588,2266,30-09-2015,iogurte,4,75.22
9589,3304,30-11-2015,outros vegetais,6,130.26
9590,3948,15-06-2015,leite inteiro,5,124.53
9591,2650,05-10-2015,outros vegetais,5,220.54
9592,1360,16-12-2015,leite inteiro,1,204.97
9593,4235,19-12-2015,refrigerante,5,1.56
9594,3193,31-01-2015,fruta tropical,3,29.71
9595,1332,02-12-2015,água engarrafada,5,53.19
9596,4821,28-11-2015,pãezinhos / pãezinhos,0,132.99
9597,4178,03-06-2015,iogurte,5,96.53
9598,1052,27-10-2015,iogurte,4,55.01
9599,3128,13-06-2015,pãezinhos / pãezinhos,1,75.51
9600,2093,12-06-2015,pastelaria,2,165.03
9601,4269,01-04-2015,citrino,6,18.81
9602,1962,05-04-2015,fruta tropical,8,184.88
9603,2250,04-10-2015,outros vegetais,0,86.80
9604,1583,28-07-2015,pastelaria,8,219.26
9605,2729,21-03-2015,água engarrafada,7,39.44
9606,2210,09-07-2015,leite inteiro,0,139.47
9607,3077,29-05-2015,pastelaria,4,132.31
9608,2443,20-06-2015,refrigerante,1,138.05
9609,2454,10-11-2015,leite inteiro,7,79.14
9610,3398,18-01-2015,citrino,3,184.49
9611,1572,23-05-2015,outros vegetais,4,203.95
9612,2352,05-05-2015,pastelaria,1,124.81
9613,4816,31-07-2015,outros vegetais,5,168.64
9614,4336,10-09-2015,refrigerante,0,88.48
9615,2816,30-09-2015,vegetais de raiz,3,36.30
9616,1711,26-02-2015,leite inteiro,4,60.20
9617,4381,30-09-2015,outros vegetais,8,179.02
9618,3967,21-01-2015,vegetais de raiz,1,147.26
9619,3327,26-03-2015,água engarrafada,7,45.41
9620,3298,26-05-2015,leite inteiro,7,220.82
9621,2116,29-08-2015,iogurte,0,259.74
9622,2463,26-12-2015,refrigerante,6,36.30
9623,1695,04-02-2015,pãezinhos / pãezinhos,1,251.96
9624,3686,06-01-2015,leite inteiro,0,127.12
9625,1409,17-02-2015,leite inteiro,4,178.40
9626,4453,27-07-2015,refrigerante,0,180.34
9627,3270,15-05-2015,água engarrafada,1,135.45
9628,2648,29-01-2015,vegetais de raiz,7,112.75
9629,1566,24-02-2015,refrigerante,8,252.87
9630,3537,25-01-2015,iogurte,6,27.12
9631,3794,04-01-2015,outros vegetais,9,172.56
9632,4567,02-10-2015,vegetais de raiz,8,49.56
9633,1926,16-10-2015,leite inteiro,1,113.13
9634,3496,22-09-2015,refrigerante,8,238.08
9635,1498,28-10-2015,leite inteiro,2,203.69
9636,4098,06-02-2015,leite inteiro,6,107.56
9637,4707,11-02-2015,vegetais de raiz,2,78.49
9638,3290,29-05-2015,refrigerante,5,26.47
9639,1940,04-06-2015,pãezinhos / pãezinhos,4,195.91
9640,3363,18-08-2015,outros vegetais,8,225.10
9641,4686,08-10-2015,outros vegetais,6,106.36
9642,1230,06-04-2015,outros vegetais,3,239.37
9643,3046,09-01-2015,leite inteiro,6,110.54
9644,4528,13-10-2015,iogurte,2,223.80
